,roc_auc,average_precision,brier_score,f1,precision,recall,specificity,balanced_accuracy,accuracy,mcc,threshold,positive_rate_predicted,positive_rate_actual,tn,fp,fn,tp
Majority-class baseline,0.5,0.2969482920368633,0.2087765483651968,0.0,0.0,0.0,1.0,0.5,0.7030517079631367,0.0,0.5,0.0,0.2969482920368633,12740.0,0.0,5381.0,0.0
Logistic Regression,0.6778912196731508,0.46172008673859566,0.22523449967649575,0.5045922627330921,0.40329218106995884,0.6738524437836834,0.5788854003139717,0.6263689220488275,0.6070857016720932,0.23096549260384963,0.5,0.496164670823906,0.2969482920368633,7375.0,5365.0,1755.0,3626.0
Random Forest,0.66932663534729,0.44644008321457007,0.21989529629015808,0.48509984639016895,0.4134048959287865,0.5868797621259989,0.6482731554160126,0.6175764587710058,0.6300424921361956,0.21758364543768877,0.5,0.4215551018155731,0.2969482920368633,8259.0,4481.0,2223.0,3158.0
XGBoost,0.6681798303642358,0.4479742868661898,0.19872649513449916,0.4012621042324013,0.483989501312336,0.3426872328563464,0.8456828885400314,0.5941850606981889,0.696319187682799,0.21121791390117506,0.5,0.2102532972793996,0.2969482920368633,10774.0,1966.0,3537.0,1844.0
Logistic Regression (calibrated),0.6772928441457922,0.44952785348838115,0.19181935425352084,0.41655201608635833,0.4837758112094395,0.36573127671436534,0.8351648351648352,0.6004480559396003,0.6957673417581811,0.21999496754463335,0.38,0.22449092213454003,0.2969482920368633,10640.0,2100.0,3413.0,1968.0
